Harga Pangan di Tingkat Produsen Provinsi,,,,,
,,,,,
Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
11,Aceh,GKP Tk. Petani,2023,Januari,Rp5.494
12,Sumatera Utara,GKP Tk. Petani,2023,Januari,Rp5.465
13,Sumatera Barat,GKP Tk. Petani,2023,Januari,Rp6.760
14,Riau,GKP Tk. Petani,2023,Januari,-
15,Jambi,GKP Tk. Petani,2023,Januari,Rp5.224
16,Sumatera Selatan,GKP Tk. Petani,2023,Januari,Rp5.230
17,Bengkulu,GKP Tk. Petani,2023,Januari,-
18,Lampung,GKP Tk. Petani,2023,Januari,Rp5.161
32,Jawa Barat,GKP Tk. Petani,2023,Januari,Rp5.247
33,Jawa Tengah,GKP Tk. Petani,2023,Januari,Rp5.562
34,D.I Yogyakarta,GKP Tk. Petani,2023,Januari,Rp5.048
35,Jawa Timur,GKP Tk. Petani,2023,Januari,Rp5.351
36,Banten,GKP Tk. Petani,2023,Januari,Rp5.035
51,Bali,GKP Tk. Petani,2023,Januari,Rp5.148
52,Nusa Tenggara Barat,GKP Tk. Petani,2023,Januari,Rp4.950
53,Nusa Tenggara Timur,GKP Tk. Petani,2023,Januari,Rp5.000
61,Kalimantan Barat,GKP Tk. Petani,2023,Januari,Rp4.710
62,Kalimantan Tengah,GKP Tk. Petani,2023,Januari,-
63,Kalimantan Selatan,GKP Tk. Petani,2023,Januari,Rp5.883
71,Sulawesi Utara,GKP Tk. Petani,2023,Januari,-
72,Sulawesi Tengah,GKP Tk. Petani,2023,Januari,-
73,Sulawesi Selatan,GKP Tk. Petani,2023,Januari,Rp5.026
74,Sulawesi Tenggara,GKP Tk. Petani,2023,Januari,Rp4.884
75,Gorontalo,GKP Tk. Petani,2023,Januari,-
76,Sulawesi Barat,GKP Tk. Petani,2023,Januari,-
11,Aceh,GKP Tk. Penggilingan,2023,Januari,Rp5.536
12,Sumatera Utara,GKP Tk. Penggilingan,2023,Januari,Rp5.577
13,Sumatera Barat,GKP Tk. Penggilingan,2023,Januari,Rp7.199
14,Riau,GKP Tk. Penggilingan,2023,Januari,-
15,Jambi,GKP Tk. Penggilingan,2023,Januari,Rp5.515
16,Sumatera Selatan,GKP Tk. Penggilingan,2023,Januari,Rp5.098
17,Bengkulu,GKP Tk. Penggilingan,2023,Januari,-
18,Lampung,GKP Tk. Penggilingan,2023,Januari,Rp5.601
32,Jawa Barat,GKP Tk. Penggilingan,2023,Januari,Rp4.956
33,Jawa Tengah,GKP Tk. Penggilingan,2023,Januari,Rp5.678
34,D.I Yogyakarta,GKP Tk. Penggilingan,2023,Januari,Rp5.143
35,Jawa Timur,GKP Tk. Penggilingan,2023,Januari,Rp5.462
36,Banten,GKP Tk. Penggilingan,2023,Januari,Rp5.431
51,Bali,GKP Tk. Penggilingan,2023,Januari,Rp5.428
52,Nusa Tenggara Barat,GKP Tk. Penggilingan,2023,Januari,Rp5.305
53,Nusa Tenggara Timur,GKP Tk. Penggilingan,2023,Januari,Rp4.962
61,Kalimantan Barat,GKP Tk. Penggilingan,2023,Januari,Rp4.724
62,Kalimantan Tengah,GKP Tk. Penggilingan,2023,Januari,-
63,Kalimantan Selatan,GKP Tk. Penggilingan,2023,Januari,Rp6.406
71,Sulawesi Utara,GKP Tk. Penggilingan,2023,Januari,-
72,Sulawesi Tengah,GKP Tk. Penggilingan,2023,Januari,-
73,Sulawesi Selatan,GKP Tk. Penggilingan,2023,Januari,Rp5.344
74,Sulawesi Tenggara,GKP Tk. Penggilingan,2023,Januari,Rp5.189
75,Gorontalo,GKP Tk. Penggilingan,2023,Januari,-
76,Sulawesi Barat,GKP Tk. Penggilingan,2023,Januari,-
11,Aceh,GKG Tk. Penggilingan,2023,Januari,Rp6.301
12,Sumatera Utara,GKG Tk. Penggilingan,2023,Januari,Rp6.464
13,Sumatera Barat,GKG Tk. Penggilingan,2023,Januari,Rp7.288
14,Riau,GKG Tk. Penggilingan,2023,Januari,-
15,Jambi,GKG Tk. Penggilingan,2023,Januari,Rp6.087
16,Sumatera Selatan,GKG Tk. Penggilingan,2023,Januari,Rp5.690
17,Bengkulu,GKG Tk. Penggilingan,2023,Januari,-
18,Lampung,GKG Tk. Penggilingan,2023,Januari,Rp6.540
32,Jawa Barat,GKG Tk. Penggilingan,2023,Januari,Rp6.385
33,Jawa Tengah,GKG Tk. Penggilingan,2023,Januari,Rp6.506
34,D.I Yogyakarta,GKG Tk. Penggilingan,2023,Januari,Rp6.064
35,Jawa Timur,GKG Tk. Penggilingan,2023,Januari,Rp6.249
36,Banten,GKG Tk. Penggilingan,2023,Januari,Rp5.967
51,Bali,GKG Tk. Penggilingan,2023,Januari,Rp6.616
52,Nusa Tenggara Barat,GKG Tk. Penggilingan,2023,Januari,Rp5.841
53,Nusa Tenggara Timur,GKG Tk. Penggilingan,2023,Januari,Rp6.182
61,Kalimantan Barat,GKG Tk. Penggilingan,2023,Januari,Rp5.927
62,Kalimantan Tengah,GKG Tk. Penggilingan,2023,Januari,Rp6.801
63,Kalimantan Selatan,GKG Tk. Penggilingan,2023,Januari,Rp7.355
71,Sulawesi Utara,GKG Tk. Penggilingan,2023,Januari,-
72,Sulawesi Tengah,GKG Tk. Penggilingan,2023,Januari,-
73,Sulawesi Selatan,GKG Tk. Penggilingan,2023,Januari,Rp5.836
74,Sulawesi Tenggara,GKG Tk. Penggilingan,2023,Januari,Rp5.294
75,Gorontalo,GKG Tk. Penggilingan,2023,Januari,-
76,Sulawesi Barat,GKG Tk. Penggilingan,2023,Januari,-
11,Aceh,Beras Medium Tingkat Penggilingan,2023,Januari,Rp10.588
12,Sumatera Utara,Beras Medium Tingkat Penggilingan,2023,Januari,Rp11.034
13,Sumatera Barat,Beras Medium Tingkat Penggilingan,2023,Januari,Rp12.429
14,Riau,Beras Medium Tingkat Penggilingan,2023,Januari,-
15,Jambi,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.905
16,Sumatera Selatan,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.910
17,Bengkulu,Beras Medium Tingkat Penggilingan,2023,Januari,-
18,Lampung,Beras Medium Tingkat Penggilingan,2023,Januari,Rp10.203
32,Jawa Barat,Beras Medium Tingkat Penggilingan,2023,Januari,Rp10.537
33,Jawa Tengah,Beras Medium Tingkat Penggilingan,2023,Januari,Rp10.433
34,D.I Yogyakarta,Beras Medium Tingkat Penggilingan,2023,Januari,Rp10.703
35,Jawa Timur,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.882
36,Banten,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.427
51,Bali,Beras Medium Tingkat Penggilingan,2023,Januari,Rp10.425
52,Nusa Tenggara Barat,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.709
53,Nusa Tenggara Timur,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.333
61,Kalimantan Barat,Beras Medium Tingkat Penggilingan,2023,Januari,Rp10.353
62,Kalimantan Tengah,Beras Medium Tingkat Penggilingan,2023,Januari,Rp11.126
63,Kalimantan Selatan,Beras Medium Tingkat Penggilingan,2023,Januari,Rp11.850
71,Sulawesi Utara,Beras Medium Tingkat Penggilingan,2023,Januari,-
72,Sulawesi Tengah,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.598
73,Sulawesi Selatan,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.290
74,Sulawesi Tenggara,Beras Medium Tingkat Penggilingan,2023,Januari,Rp9.546
75,Gorontalo,Beras Medium Tingkat Penggilingan,2023,Januari,-
76,Sulawesi Barat,Beras Medium Tingkat Penggilingan,2023,Januari,-
11,Aceh,Beras Premium Tingkat Penggilingan,2023,Januari,Rp11.535
12,Sumatera Utara,Beras Premium Tingkat Penggilingan,2023,Januari,Rp11.971
13,Sumatera Barat,Beras Premium Tingkat Penggilingan,2023,Januari,Rp13.660
14,Riau,Beras Premium Tingkat Penggilingan,2023,Januari,-
15,Jambi,Beras Premium Tingkat Penggilingan,2023,Januari,Rp11.242
16,Sumatera Selatan,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.436
17,Bengkulu,Beras Premium Tingkat Penggilingan,2023,Januari,-
18,Lampung,Beras Premium Tingkat Penggilingan,2023,Januari,Rp11.072
32,Jawa Barat,Beras Premium Tingkat Penggilingan,2023,Januari,Rp11.497
33,Jawa Tengah,Beras Premium Tingkat Penggilingan,2023,Januari,Rp11.473
34,D.I Yogyakarta,Beras Premium Tingkat Penggilingan,2023,Januari,Rp11.725
35,Jawa Timur,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.936
36,Banten,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.576
51,Bali,Beras Premium Tingkat Penggilingan,2023,Januari,Rp11.193
52,Nusa Tenggara Barat,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.462
53,Nusa Tenggara Timur,Beras Premium Tingkat Penggilingan,2023,Januari,Rp9.955
61,Kalimantan Barat,Beras Premium Tingkat Penggilingan,2023,Januari,-
62,Kalimantan Tengah,Beras Premium Tingkat Penggilingan,2023,Januari,Rp13.518
63,Kalimantan Selatan,Beras Premium Tingkat Penggilingan,2023,Januari,Rp14.722
71,Sulawesi Utara,Beras Premium Tingkat Penggilingan,2023,Januari,-
72,Sulawesi Tengah,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.000
73,Sulawesi Selatan,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.299
74,Sulawesi Tenggara,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.503
75,Gorontalo,Beras Premium Tingkat Penggilingan,2023,Januari,-
76,Sulawesi Barat,Beras Premium Tingkat Penggilingan,2023,Januari,-
11,Aceh,Jagung Pipilan Kering Tingkat Petani,2023,Januari,-
12,Sumatera Utara,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.374
13,Sumatera Barat,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.715
14,Riau,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.881
15,Jambi,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.276
16,Sumatera Selatan,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.048
17,Bengkulu,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.123
18,Lampung,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.684
32,Jawa Barat,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.412
33,Jawa Tengah,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.323
34,D.I Yogyakarta,Jagung Pipilan Kering Tingkat Petani,2023,Januari,-
35,Jawa Timur,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.264
36,Banten,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp5.500
51,Bali,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.866
52,Nusa Tenggara Barat,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.849
